A fecha de,"30-sep-2022"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Equity","2.36","31.92","39,217,538.00","1,251,823,812.96","1,251,823,812.96","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Equity","2.33","117.67","10,490,809.00","1,234,453,495.03","1,234,453,495.03","Productos básicos de consumo","BHHP0S4","MX01KO000002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","2.26","1,031.35","1,165,362.00","1,201,896,098.70","1,201,896,098.70","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","2.08","21.80","50,538,218.00","1,101,733,152.40","1,101,733,152.40","Comunicación","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","1.52","12.82","62,771,574.00","804,731,578.68","804,731,578.68","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","1.46","50.91","15,211,854.00","774,435,487.14","774,435,487.14","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.43","26.91","28,137,347.00","757,176,007.77","757,176,007.77","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PE&OLES*","INDUST PENOLES","Equity","1.38","195.78","3,731,524.00","730,557,768.72","730,557,768.72","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCARSOA1","GRUPO CARSO SERIES A1","Equity","1.37","73.76","9,889,812.00","729,472,533.12","729,472,533.12","Industriales","2393452","MXP461181085","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.32","192.90","3,642,185.00","702,577,486.50","702,577,486.50","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.30","126.72","5,438,597.00","689,179,011.84","689,179,011.84","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Equity","1.18","33.78","18,468,564.00","623,868,091.92","623,868,091.92","Materiales","BH3T8K8","MX01OR010004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Equity","1.04","137.16","4,024,145.00","551,951,728.20","551,951,728.20","Industriales","2393388","MX01PI000005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VESTA*","CORPORACION INMOBILIARIA VESTA","Equity","0.94","37.52","13,249,671.00","497,127,655.92","497,127,655.92","Inmobiliario","B8F6ZF8","MX01VE0M0003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.72","120.70","3,167,469.00","382,313,508.30","382,313,508.30","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.67","17.37","20,612,571.00","358,040,358.27","358,040,358.27","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.67","36.29","9,765,908.00","354,404,801.32","354,404,801.32","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.66","83.05","4,217,055.00","350,226,417.75","350,226,417.75","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.66","88.50","3,943,915.00","349,036,477.50","349,036,477.50","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CUERVO*","BECLE SA DE CV","Equity","0.63","35.67","9,325,171.00","332,628,849.57","332,628,849.57","Productos básicos de consumo","BYM4063","MX01CU010003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BOLSAA","BOLSA MEXICANA DE VALORES","Equity","0.59","33.69","9,327,507.00","314,243,710.83","314,243,710.83","Financieros","B39VVF6","MX01BM1B0000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"SITES1A-1","OPERADORA DE SITES MEXICANOS SAD","Equity","0.57","16.74","18,148,716.00","303,809,505.84","303,809,505.84","Comunicación","BJLD2Y8","MX01SI0C0002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.56","113.53","2,620,047.00","297,453,935.91","297,453,935.91","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VOLARA","CONTROLADORA VUELA COMPANIA DE AVI","Equity","0.46","14.23","17,048,710.00","242,603,143.30","242,603,143.30","Industriales","BDZDPH6","MX01VO000009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEGACPO","MEGACABLE HOLDINGS CPO","Equity","0.45","40.58","5,930,751.00","240,669,875.58","240,669,875.58","Comunicación","B292SM8","MX01ME090003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LASITE","SITIOS LATINOAMERICA SAB DE","Equity","0.32","8.99","19,179,404.00","172,422,841.96","172,422,841.96","Consumo discrecional","BNTFDQ3","MX01LA080009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.26","100.00","137,917,624.00","137,917,623.98","137,917,623.98","Liquidez","-","-","-","México","MXN","MXN","1.00"
 
