A fecha de,"30-dic-2022"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"PE&OLES*","INDUST PENOLES","Equity","1.54","239.66","3,558,460.00","852,820,523.60","852,820,523.60","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","1.54","17.72","48,088,630.00","852,130,523.60","852,130,523.60","Comunicación","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.41","150.07","5,174,995.00","776,611,499.65","776,611,499.65","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCARSOA1","GRUPO CARSO SERIES A1","Equity","1.39","81.77","9,406,251.00","769,149,144.27","769,149,144.27","Industriales","2393452","MXP461181085","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","1.34","12.41","59,532,921.00","738,803,549.61","738,803,549.61","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Equity","1.11","159.56","3,829,110.00","610,972,791.60","610,972,791.60","Industriales","2393388","MX01PI000005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Equity","1.10","34.50","17,573,437.00","606,283,576.50","606,283,576.50","Materiales","BH3T8K8","MX01OR010004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VESTA*","CORPORACION INMOBILIARIA VESTA","Equity","1.06","46.51","12,607,455.00","586,372,732.05","586,372,732.05","Inmobiliario","B8F6ZF8","MX01VE0M0003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.93","100.00","513,489,064.00","513,489,064.22","513,489,064.22","Liquidez","-","-","-","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.78","114.92","3,752,753.00","431,266,374.76","431,266,374.76","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.78","21.94","19,627,922.00","430,636,608.68","430,636,608.68","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.71","130.40","3,014,016.00","393,027,686.40","393,027,686.40","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CUERVO*","BECLE SA DE CV","Equity","0.68","42.37","8,873,248.00","375,959,517.76","375,959,517.76","Productos básicos de consumo","BYM4063","MX01CU010003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.63","140.09","2,493,127.00","349,262,161.43","349,262,161.43","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.61","85.92","3,953,307.00","339,668,137.44","339,668,137.44","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.61","36.86","9,195,331.00","338,939,900.66","338,939,900.66","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BOLSAA","BOLSA MEXICANA DE VALORES","Equity","0.60","37.62","8,827,784.00","332,101,234.08","332,101,234.08","Financieros","B39VVF6","MX01BM1B0000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"SITES1A-1","OPERADORA DE SITES MEXICANOS SAD","Equity","0.60","19.17","17,284,493.00","331,343,730.81","331,343,730.81","Comunicación","BJLD2Y8","MX01SI0C0002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEGACPO","MEGACABLE HOLDINGS CPO","Equity","0.53","51.78","5,650,092.00","292,561,763.76","292,561,763.76","Comunicación","B292SM8","MX01ME090003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LASITEB.1","SITIOS LATINOAMERICA S.A.B. DE C.","Equity","0.48","9.35","28,417,877.00","265,707,149.95","265,707,149.95","Comunicación","BNTFDQ3","MX01LA080009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VOLARA","CONTROLADORA VUELA COMPANIA DE AVI","Equity","0.48","16.31","16,222,349.00","264,586,512.19","264,586,512.19","Industriales","BDZDPH6","MX01VO000009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
 
