A fecha de,"30-nov-2022"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"VESTA*","CORPORACION INMOBILIARIA VESTA","Equity","0.93","43.15","12,811,050.00","552,796,807.50","552,796,807.50","Inmobiliario","B8F6ZF8","MX01VE0M0003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.72","112.43","3,813,382.00","428,738,538.26","428,738,538.26","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.72","138.94","3,062,696.00","425,530,982.24","425,530,982.24","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.69","20.58","19,930,204.00","410,163,598.32","410,163,598.32","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CUERVO*","BECLE SA DE CV","Equity","0.66","43.13","9,016,521.00","388,882,550.73","388,882,550.73","Productos básicos de consumo","BYM4063","MX01CU010003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"SITES1A-1","OPERADORA DE SITES MEXICANOS SAD","Equity","0.63","21.16","17,547,924.00","371,314,071.84","371,314,071.84","Comunicación","BJLD2Y8","MX01SI0C0002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.61","38.47","9,442,716.00","363,261,284.52","363,261,284.52","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.60","141.28","2,533,482.00","357,930,336.96","357,930,336.96","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BOLSAA","BOLSA MEXICANA DE VALORES","Equity","0.58","37.91","9,020,021.00","341,948,996.11","341,948,996.11","Financieros","B39VVF6","MX01BM1B0000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.56","81.32","4,077,472.00","331,580,023.04","331,580,023.04","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VOLARA","CONTROLADORA VUELA COMPANIA DE AVI","Equity","0.53","19.15","16,484,422.00","315,676,681.30","315,676,681.30","Industriales","BDZDPH6","MX01VO000009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEGACPO","MEGACABLE HOLDINGS CPO","Equity","0.47","49.15","5,727,593.00","281,511,195.95","281,511,195.95","Comunicación","B292SM8","MX01ME090003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LASITEB.1","SITIOS LATINOAMERICA S.A.B. DE C.","Equity","0.27","8.68","18,567,300.00","161,164,164.00","161,164,164.00","Comunicación","BNTFDQ3","MX01LA080009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.12","100.00","73,514,545.00","73,514,545.00","73,514,545.00","Liquidez","-","-","-","México","MXN","MXN","1.00"
 
